Date, Total,English,French,German,Russian
2009/01/01,11567870,4325685,671026,882533,455700
2009/02/01,10613857,4164838,636840,758077,390738
2009/03/01,11348753,4389070,632249,808179,464306
2009/04/01,10793226,4029032,619604,660333,449855
2009/05/01,11756691,4285278,769363,690266,471284
2009/06/01,10893683,3934092,675056,706387,476217
2009/07/01,11227569,3803949,620115,694124,469751
2009/08/01,11189138,3890794,679958,734319,478112
2009/09/01,10895787,3979464,631657,686662,468707
2009/10/01,11052478,3971406,669454,719499,521426
2009/11/01,10647633,3906305,658130,722235,525153
2009/12/01,11138027,4380286,659310,720465,505323
2010/01/01,11742895,3944885,726769,849989,572541
2010/02/01,11315548,3876989,682478,753161,552985
2010/03/01,12057975,4117341,699648,830243,604198
2010/04/01,12036635,4027286,691606,748649,571891
2010/05/01,12194532,4073019,702509,772422,579846
2010/06/01,11818793,3941223,659345,720729,572832
2010/07/01,10641782,3644215,624075,704876,545875
2010/08/01,12260616,3857432,655619,779736,569980
2010/09/01,11829363,3950529,670268,741511,545524
2010/10/01,11489316,4122651,666046,741208,570253
2010/11/01,11106370,3897566,721096,736667,558036
2010/12/01,11517363,3681581,752286,737213,600393
2011/01/01,12738918,4062122,757164,877903,659382
2011/02/01,10987172,3512841,668348,756339,616329
2011/03/01,11781249,3576644,714349,790490,644100
2011/04/01,11567482,3562986,690630,720612,566283
2011/05/01,11470415,3504624,755257,720701,622238
2011/06/01,11647247,3557875,740786,729111,577287
2011/07/01,11833466,3611889,721165,735638,601575
2011/08/01,11245116,3464589,732084,710629,589071
2011/09/01,10912916,3456774,773827,701362,549453
2011/10/01,11332884,3398940,745130,733669,559794
2011/11/01,11131618,3333434,739085,721879,550671
2011/12/01,11634593,3347884,790004,736738,558321
2012/01/01,12422452,3668293,937499,800130,666066
