Month,All Projects,Wikipedia,Commons,Other Wikis,Wikibooks,Wiktionary,Wikiversity,Wikiquote,Wikisource,Wikivoyage,Wikinews
2012/02/01,,15962,1011,204,107,146,91,93,103,62,20
2012/03/01,,16303,1074,128,128,132,73,84,98,80,18
2012/04/01,,15851,967,97,136,140,41,65,94,83,26
2012/05/01,,16282,1013,99,138,150,52,76,109,70,16
2012/06/01,,15432,998,114,114,135,34,71,94,57,6
2012/07/01,,15825,1085,171,91,153,33,71,138,56,20
2012/08/01,,15208,982,146,67,149,36,71,95,17,15
2012/09/01,,14103,4609,144,71,122,91,68,77,15,20
2012/10/01,,15238,1432,340,256,124,86,74,122,29,22
2012/11/01,,15363,1033,398,235,141,69,67,73,90,18
2012/12/01,,14795,1014,246,247,139,74,67,77,78,22
2013/01/01,,16409,1148,251,115,186,54,76,116,837,21
2013/02/01,,14824,1084,694,96,141,66,54,80,220,27
2013/03/01,,15767,1160,1649,99,145,73,69,71,141,23
2013/04/01,,16114,1313,1374,149,117,132,65,109,100,31
2013/05/01,,16006,1342,1285,130,136,77,59,82,87,16
2013/06/01,,14309,1086,1190,80,135,59,55,86,87,23
2013/07/01,,14394,1171,1066,64,160,26,55,89,111,17
2013/08/01,,14308,1093,985,70,103,37,65,97,93,23
2013/09/01,,12333,3727,814,75,108,62,72,85,82,22
2013/10/01,,14073,1236,783,266,144,121,50,95,80,19
2013/11/01,,13877,1181,796,185,138,109,60,168,92,14
2013/12/01,,14158,1009,930,167,154,59,64,100,73,16
2014/01/01,,15539,1239,1066,69,144,26,76,243,86,16
2014/02/01,,13879,1157,1092,65,137,51,68,191,62,19
2014/03/01,,14554,1109,937,86,121,38,72,80,87,18
2014/04/01,,13493,1329,839,122,109,75,57,71,64,21
