Month,All Wikipedias (+Mobile),English,Japanese,Spanish,German,Russian,French
2008/07/01,9549029960,5135131814,973755192,445589582,755196668,113662290,311381016
2008/08/01,9500950640,4974344046,969975425,529752195,778407514,121195082,312562951
2008/09/01,10631418011,5479533823,998032211,640332042,817672904,157256924,407994179
2008/10/01,11058038394,5669431390,1003057504,678356918,854000325,178147619,439236954
2008/11/01,10846026740,5415832055,925842966,618951709,1007854264,193302177,456433510
2008/12/01,10471502668,5043588824,867622536,429593165,1434267602,225726994,398506291
2009/01/01,11496097908,5615498275,1020040333,525897906,1270923077,244179932,489329700
2009/02/01,11679133617,5943558064,1015724496,664767977,981701403,261464142,489587152
2009/03/01,12024147869,6092089410,965824332,708812666,978324435,284750415,510839619
2009/04/01,11352654094,5988817321,935725490,622529405,816911070,275645537,513244212
2009/05/01,11825804671,6066080834,1054087578,712546000,875354334,285393526,517848086
2009/06/01,11511565647,5818924182,1076231552,689177935,908943732,287430317,478907393
2009/07/01,10765896275,5614497075,1071919060,568949734,818710227,249613491,402046348
2009/08/01,10938258371,5604048759,1056863842,670114201,812759742,263291318,405401461
2009/09/01,11878377825,5937922018,1036022366,805384131,888953956,305019697,468445343
2009/10/01,12246830145,6041279704,1042122587,793041104,884514330,336490934,517691251
2009/11/01,11997342325,5841504417,1018879252,750257494,903770333,350558815,517541264
2009/12/01,10619280780,5258610830,947765303,500123563,759783399,342298682,456708198
2010/01/01,11980000757,5883232992,1083201946,608651538,916028392,377526978,532464602
2010/02/01,12513162067,6227014896,1060245098,776934909,890617318,414429038,527713863
2010/03/01,12198959606,6446465754,979748084,740804448,809344045,358678986,493544465
2010/04/01,15031912320,8213623221,1152028494,953794373,957331874,438267171,550218307
2010/05/01,15223799307,8126959544,1276258833,999782289,986952926,467543830,573315069
2010/06/01,14593457157,7841269693,1260772500,939990212,955135652,456898699,536451155
2010/07/01,13896375896,7728611935,1275749319,762596690,901839447,386032551,482220859
2010/08/01,13764464594,7435888138,1222127187,872071201,936931491,408043313,510089112
2010/09/01,14530838510,7572220871,1200138702,1018472015,989808185,494069475,586890265
2010/10/01,14532680853,7526863400,1185314758,1020227911,973748712,525512847,598622500
2010/11/01,14936841602,7552720233,1192956965,1029077915,1062730731,569946243,657362614
2010/12/01,13947346957,7197323670,1104993076,748120629,965473265,587252199,619085980
2011/01/01,15504522187,7886321417,1230270379,870565050,1155753949,643666675,697123896
2011/02/01,15600091988,7905363844,1235772520,1017498578,1010369643,663129902,657610990
2011/03/01,15208535883,7532208472,1195941376,1071499890,1000548752,649943184,656422906
2011/04/01,14677353895,7345492982,1185126548,961460241,902105087,646546023,624116684
2011/05/01,15136547089,7313738255,1255860535,1074132146,1035675916,647533682,653114631
2011/06/01,14718444371,7129490662,1227660371,979439804,1009279530,626252967,626267778
2011/07/01,14140540355,6968286733,1247518154,858854640,959536382,568028951,593023383
2011/08/01,15062570953,7263497053,1321459774,1054094317,966935930,586031773,654016689
