Month,Total Mobile,English Mobile,Japanese Mobile,German Mobile,Spanish Mobile,French Mobile,Russian Mobile,Italian Mobile
2010/06/01,208280310,147977836,17809786,9369170,4122690,8195299,7097283,3601673
2010/07/01,372132091,278327012,28394287,13668968,8950452,12875048,8148804,4880655
2010/08/01,400944073,292649435,33072856,15319698,10564184,15812894,8615441,6215748
2010/09/01,425385736,308748612,33404730,17164171,11807268,16291336,10535929,6215555
2010/10/01,432613085,314486485,31851931,17408353,11501680,16066117,12408818,5892838
2010/11/01,491794260,349765196,39647998,20769311,12813399,19150519,14981251,7228372
2010/12/01,555653967,395806618,46486873,23444459,13279423,21042051,17847127,8102866
2011/01/01,680527579,473666865,66024071,31057975,18224248,26031268,19734794,11105273
2011/02/01,692464914,474485604,71955380,29621900,20710352,26531476,19955837,12048628
2011/03/01,622902258,412602980,71516492,28302165,20540505,24355948,19228891,10731203
2011/04/01,728233197,485265239,85519986,30645173,24255944,26588526,21478879,11291385
2011/05/01,762990098,498279380,95856745,32195180,27317424,27715065,21891242,12324058
2011/06/01,801552556,527599350,96806760,35067206,27744011,28634979,22097952,13099252
2011/07/01,857407355,571859457,108449709,34129202,29321690,28213198,19454859,13441276
2011/08/01,916946743,590078181,112019176,36010958,40792718,32550585,23320682,17595039
2011/09/01,887103215,556519235,114917611,35136885,42295306,27847084,26131473,16013630
2011/10/01,1111140204,687274491,143102045,48769995,51284025,36238792,37921767,19378412
2011/11/01,1325724262,806976298,172878247,62186820,60289133,45299992,44936278,25354308
2011/12/01,1533885014,944881712,189591286,74903496,61279596,53304120,52460396,33028388
2012/01/01,1681435126,1019997286,225008795,85592570,73497001,58556530,52199562,36746917
2012/02/01,1663482355,992947277,224398907,81796107,79554420,59454754,54868457,37217358
2012/03/01,1858551326,1047002920,245139577,92092638,90028886,70076099,64442825,43142093
2012/04/01,2089385579,1118962375,259903963,105570639,99968261,89275527,75724578,51571512
2012/05/01,1972654819,1086800537,281568702,96406761,97427724,78633925,65515456,49022472
2012/06/01,2073353860,1151723222,312952132,102527314,99556698,75439465,60612246,50173233
2012/07/01,2124669435,1210942112,333233884,94695954,99722450,73144742,56446986,51431312
2012/08/01,2236635112,1238992790,367042392,97455153,118013035,82419690,55580265,58584594
2012/09/01,2351718507,1251680368,377530304,112630241,130271971,88354930,68362158,66536030
2012/10/01,2388454353,1275471167,372739871,118209681,135254174,90711002,77863314,63866634
2012/11/01,2582537850,1368813215,385430496,136489626,141869546,101341600,89301166,70127552
2012/12/01,2709040399,1420310049,384985842,133348162,138459963,102447934,149142429,73069664
2013/01/01,3074059424,1601166830,449673502,162281981,166719431,116239394,146901574,90786601
2013/02/01,3191359557,1616842936,452683591,168403016,182720976,122507852,149388008,95693507
2013/03/01,3224737583,1644370264,444802271,167602926,188811532,128383601,150255988,95703693
2013/04/01,3168366280,1531695031,459368096,178362338,195821190,126730508,151000060,102476608
2013/05/01,3410775567,1609373412,500170494,193058287,214310802,144462423,157701112,113506491
2013/06/01,3678654193,1851178430,490031387,189657518,219028096,142185555,147438309,116584815
2013/07/01,3689654792,1884451222,490460421,185568559,215627800,133850009,137769576,116922305
2013/08/01,3648452258,1805363702,492670885,181901525,228140277,136251004,133856589,120752581
2013/09/01,3709832144,1791215127,500473478,189272960,241757237,135171970,152455067,124448505
2013/10/01,3658114911,1721384463,511682395,190323724,241777293,135955599,162170613,124148644
2013/11/01,3732882853,1800205532,500210312,191623538,238122505,141028591,165975836,127524435
2013/12/01,4088920694,1987069845,531420662,256194213,231625253,159185762,186647065,143508148
2014/01/01,4845464330,2328502692,665628471,265888264,312770414,196374245,225599234,194287480
2014/02/01,4806860655,2345067685,553139439,257084793,347703659,191287732,230331087,193493605
2014/03/01,4797706494,2333569812,550627802,250987297,357297227,190967549,223948144,183091670
2014/04/01,4814358716,2319892438,583049356,260259377,354560683,192188822,220619267,185750304
2014/05/01,4877885914,2284075984,625295909,262683578,370444806,202008817,221627567,188458845
2014/06/01,5280662543,2568342231,622770143,297060196,390231105,209660357,222428997,202195517
2014/07/01,5885569321,3013790949,635030080,310732030,391068182,236401039,223127217,219418369
2014/08/01,6080234935,3009862160,690210104,317760872,433259868,245056017,224790854,227196504
2014/09/01,6188281042,3010278518,637399935,320190277,465179043,252286116,262747011,239275102
2014/10/01,6246810892,3074616229,626806359,340964487,467328318,254863742,290251093,233661030
2014/11/01,6439307645,3155612346,624465851,357185639,463294476,282617033,306012794,242730534
2014/12/01,6858787658,3648619604,608661695,393971067,393466447,275055057,301206521,240775263
2015/01/01,6985797046,3388636039,699132885,418715441,472483600,307523702,352598696,292791586
2015/02/01,6955198844,3349319208,677913620,398738796,534824732,295722560,352635671,292985345
2015/03/01,6846241278,3276305214,645343547,385759528,540796314,293358704,338160980,278013886
2015/04/01,6926324592,3284883143,644546983,393453426,547163207,295754595,350638735,274400593
2015/05/01,6657981671,3101022856,673366476,408278408,541938518,286243815,286598661,270771974
2015/06/01,6255166467,2972423757,637022640,394839188,506038332,255793360,254488362,265745077
2015/07/01,6162591418,3052404917,637175712,365761493,445769137,243136377,236994808,249291684
2015/08/01,6355877575,3071058555,680614579,374779998,496432470,264833189,237953057,270008527
2015/09/01,6396970333,3053376322,617243712,383179286,542889968,260300943,270410685,271536084
2015/10/01,6439083496,3045129898,576321170,392387521,552113744,269038014,287525718,263867892
2015/11/01,6695432883,3127716717,590705112,429824809,536855456,289408804,312401031,278544211
2015/12/01,6589153689,3165018385,579567068,446641266,435812125,290260050,301565974,276284045
