Date,All projects,Wikipedia,Commons,Wiktionary,Other Wikis,Wikibooks,Wikisource,Wikiquote,Wikiversity,Wikivoyage,Wikinews
2010/10/01,78577,79171,13060,483,1019,468,413,341,209,165,356
2010/11/01,78094,78229,842,531,972,597,437,340,311,167,308
2010/12/01,77141,77726,791,416,886,593,388,337,177,174,277
2011/01/01,86165,86898,15228,526,965,465,462,350,173,174,316
2011/02/01,81765,82212,14197,621,919,450,414,328,236,175,301
2011/03/01,84435,84742,14361,504,878,467,433,363,242,223,313
2011/04/01,80739,80586,14223,409,862,505,397,371,241,171,376
2011/05/01,81647,81752,14991,517,827,376,453,346,244,165,323
2011/06/01,79822,80163,15389,434,884,422,565,333,177,151,298
2011/07/01,79617,80391,15201,398,863,339,453,303,137,143,273
2011/08/01,80355,81126,15726,558,886,374,424,343,133,165,267
2011/09/01,80302,78474,21235,630,906,330,404,369,204,131,245
2011/10/01,79357,79085,15702,661,911,548,415,334,258,168,291
2011/11/01,79051,78346,16158,630,882,586,403,353,388,128,259
2011/12/01,78466,78483,15299,527,916,558,407,378,200,161,228
2012/01/01,83218,83876,16695,612,924,379,467,382,210,172,287
2012/02/01,80129,80373,16452,832,897,419,445,386,237,142,240
2012/03/01,80522,80722,17234,613,896,399,432,350,228,154,282
2012/04/01,79266,79138,17232,580,916,434,404,355,208,143,260
2012/05/01,81120,81540,17708,563,938,476,429,334,167,124,225
2012/06/01,78399,78753,16880,527,924,424,390,318,129,124,229
2012/07/01,80211,80643,17357,670,933,345,425,329,130,135,257
2012/08/01,79231,79924,16946,649,897,317,374,325,122,126,67
2012/09/01,82054,76039,33678,653,885,317,364,312,247,140,73
2012/10/01,79570,78767,19350,997,875,583,371,351,263,122,107
2012/11/01,79364,79005,18021,1193,928,648,374,327,264,119,204
2012/12/01,78536,78495,18546,974,976,670,388,316,251,124,217
